Name,Latitude,Longitude
Banashankari,12.92679497,77.56119883
Bannerghatta Rd,12.90749791,77.60119857
Betthalusur,13.15229736,77.62090098
Chikkasandra,13.06974149,77.50403278
Commercial Street,12.98303655,77.60671053
Doddakannelli,12.91078507,77.6856029
Dr Rajkumar Road,13.01085459,77.55491918
Dyvasandra,12.99655435,77.69554647
Gandhi Bazaar,12.94729885,77.56859956
Gopalapura,12.98160823,77.56309643
Hulimavu,12.87577053,77.59573129
Huskur,13.05469809,77.76340037
Indiranagar,12.97820043,77.63790212
Jayanagar,12.92796011,77.58830242
Jinkethimmanahalli,13.02069637,77.68449783
Kammanahalli Main Rd,13.02251714,77.63731744
Karuna Nagar,12.84170257,77.64790012
Kattigenahalli,13.122101,77.63070572
Kenchenhalli,12.93580651,77.51769536
Konanakunte,12.8854788,77.5636895
Koramangala_1,12.93449976,77.61129537
Koramangala_2,12.9351047,77.61340205
Kothanur,13.07130491,77.65119154
Magadi,12.97370177,77.55170044
Mahadevapura,12.99678413,77.69660207
Malleshwaram,12.99209677,77.57099451
Marathahalli,12.96550919,77.70180064
Mysore Road,12.95828688,77.55353389
Nayanda Halli,12.94025766,77.52500999
New BEL Rd,13.02852124,77.57120229
RT Nagar,13.02066462,77.59250761
Sector 6 HSR Layout,12.91191499,77.63819055
Swami Vivekananda Road,12.9929954,77.66188923
Thanisandra,13.04540517,77.62679738
Veerasandra Industrial Area,12.84170205,77.67837908
Vidyaranyapura,13.07843863,77.55905537
Vijayanagar,12.96810134,77.53601924
WCR Road,12.9973028,77.54780278
Whitefield,12.95929689,77.74710599
Whitefield Main Road,12.98712115,77.73649887
Yelahanka_1,13.0947058,77.59490104
Yelahanka_2,13.07190403,77.59237171
Yelahanka New Town,13.09842705,77.57363456
